"","Region","Country","State","City","Month","Day","Year","AvgTemperature","date_mine"
"158","Europe","Denmark",NA,"Copenhagen",6,7,1995,12.2777777777778,2021-06-07
"159","Europe","Denmark",NA,"Copenhagen",6,8,1995,11.8333333333333,2021-06-08
"160","Europe","Denmark",NA,"Copenhagen",6,9,1995,11.8333333333333,2021-06-09
"161","Europe","Denmark",NA,"Copenhagen",6,10,1995,11.5555555555556,2021-06-10
"162","Europe","Denmark",NA,"Copenhagen",6,11,1995,11.6111111111111,2021-06-11
"163","Europe","Denmark",NA,"Copenhagen",6,12,1995,12.5,2021-06-12
"164","Europe","Denmark",NA,"Copenhagen",6,13,1995,12.5,2021-06-13
"165","Europe","Denmark",NA,"Copenhagen",6,14,1995,13.4444444444444,2021-06-14
"166","Europe","Denmark",NA,"Copenhagen",6,15,1995,12.6666666666667,2021-06-15
"167","Europe","Denmark",NA,"Copenhagen",6,16,1995,13.2222222222222,2021-06-16
"168","Europe","Denmark",NA,"Copenhagen",6,17,1995,12.7222222222222,2021-06-17
"169","Europe","Denmark",NA,"Copenhagen",6,18,1995,13.1666666666667,2021-06-18
"170","Europe","Denmark",NA,"Copenhagen",6,19,1995,13.3333333333333,2021-06-19
"171","Europe","Denmark",NA,"Copenhagen",6,20,1995,14.6666666666667,2021-06-20
"172","Europe","Denmark",NA,"Copenhagen",6,21,1995,15.0555555555556,2021-06-21
"173","Europe","Denmark",NA,"Copenhagen",6,22,1995,10.7222222222222,2021-06-22
"174","Europe","Denmark",NA,"Copenhagen",6,23,1995,13.7222222222222,2021-06-23
"175","Europe","Denmark",NA,"Copenhagen",6,24,1995,16.3888888888889,2021-06-24
"176","Europe","Denmark",NA,"Copenhagen",6,25,1995,19.4444444444444,2021-06-25
"177","Europe","Denmark",NA,"Copenhagen",6,26,1995,20.2222222222222,2021-06-26
"178","Europe","Denmark",NA,"Copenhagen",6,27,1995,16.5555555555556,2021-06-27
"179","Europe","Denmark",NA,"Copenhagen",6,28,1995,19.1666666666667,2021-06-28
"180","Europe","Denmark",NA,"Copenhagen",6,29,1995,17.9444444444444,2021-06-29
"181","Europe","Denmark",NA,"Copenhagen",6,30,1995,15.8333333333333,2021-06-30
"182","Europe","Denmark",NA,"Copenhagen",7,1,1995,13.5555555555556,2021-07-01
"183","Europe","Denmark",NA,"Copenhagen",7,2,1995,13.3888888888889,2021-07-02
"184","Europe","Denmark",NA,"Copenhagen",7,3,1995,14.8333333333333,2021-07-03
"185","Europe","Denmark",NA,"Copenhagen",7,4,1995,12.2222222222222,2021-07-04
"186","Europe","Denmark",NA,"Copenhagen",7,5,1995,12.3888888888889,2021-07-05
"187","Europe","Denmark",NA,"Copenhagen",7,6,1995,16.3333333333333,2021-07-06
"188","Europe","Denmark",NA,"Copenhagen",7,7,1995,18.8888888888889,2021-07-07
"189","Europe","Denmark",NA,"Copenhagen",7,8,1995,18.2222222222222,2021-07-08
"190","Europe","Denmark",NA,"Copenhagen",7,9,1995,17.8888888888889,2021-07-09
"191","Europe","Denmark",NA,"Copenhagen",7,10,1995,16.3888888888889,2021-07-10
"192","Europe","Denmark",NA,"Copenhagen",7,11,1995,15.6666666666667,2021-07-11
"193","Europe","Denmark",NA,"Copenhagen",7,12,1995,16.7777777777778,2021-07-12
"194","Europe","Denmark",NA,"Copenhagen",7,13,1995,20.4444444444444,2021-07-13
"195","Europe","Denmark",NA,"Copenhagen",7,14,1995,19.8333333333333,2021-07-14
"196","Europe","Denmark",NA,"Copenhagen",7,15,1995,18.3888888888889,2021-07-15
"197","Europe","Denmark",NA,"Copenhagen",7,16,1995,17.5555555555556,2021-07-16
"198","Europe","Denmark",NA,"Copenhagen",7,17,1995,17.8888888888889,2021-07-17
"199","Europe","Denmark",NA,"Copenhagen",7,18,1995,17.5555555555556,2021-07-18
"200","Europe","Denmark",NA,"Copenhagen",7,19,1995,18.2222222222222,2021-07-19
"201","Europe","Denmark",NA,"Copenhagen",7,20,1995,20.2222222222222,2021-07-20
"202","Europe","Denmark",NA,"Copenhagen",7,21,1995,22.5,2021-07-21
"203","Europe","Denmark",NA,"Copenhagen",7,22,1995,17.1666666666667,2021-07-22
"204","Europe","Denmark",NA,"Copenhagen",7,23,1995,15.3333333333333,2021-07-23
"205","Europe","Denmark",NA,"Copenhagen",7,24,1995,16.6111111111111,2021-07-24
"206","Europe","Denmark",NA,"Copenhagen",7,25,1995,14.7222222222222,2021-07-25
